input_smile,is_patented,patent_cid,similar_smile_patent
c1ccc(Cc2nnc3ccncc3n2)cc1,True,213010.0,C1=CC=C2C(=C1)C3=C(C=N2)N=CN=N3
c1ccc(OCC2=Nc3cnccc3NN2)cc1,True,168888.0,C1=CC=C(C=C1)OCC2=NC3=C(C=CN=C3)NN2.Cl
CCOC(=O)c1ccc(O)cc1,True,7456.0,COC(=O)C1=CC=C(C=C1)O
COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,True,446541.0,CC1=C2COC(=O)C2=C(C(=C1OC)CC=C(C)CCC(=O)O)O
CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O,True,5282176.0,CCCCC(C=C(C)C=CC=CC(=O)N1CCCC1=O)O
CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,True,5284616.0,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC
Cc1cccc(N(C)C(=S)Oc2ccc3c(c2)[C@@H]2CC[C@H]3C2)c1,True,5506.0,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=C(C=C2)C4CCC3C4
O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl,True,13916.0,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C2=CNC=C2Cl
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,True,3401.0,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4
Oc1c(Cl)cc(Cl)c2cccnc12,True,2722.0,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
C[C@@H](n1cnc2cc(Cl)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,True,208952.0,CC(C(CN1C=NC=N1)(C2=C(C=C(C=C2)F)F)O)N3C=NC4=C(C3=O)C=CC(=C4)Cl
OCC(O)COc1ccc(Cl)cc1,True,7697.0,C1=CC(=CC=C1OCC(CO)O)Cl
C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,True,3033988.0,CC(=C(C1=C(C=C(C=C1)Cl)Cl)OCCOC2=CC=C(C=C2)Cl)N3C=CN=C3
Clc1ccc(C(Cn2ccnc2)OCc2ccc(Sc3ccccc3)cc2)c(Cl)c1,True,51755.0,C1=CC=C(C=C1)SC2=CC=C(C=C2)COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl
C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,True,5280965.0,CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,True,3599.0,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
c1ccc2[nH]c(-c3cscn3)nc2c1,True,5430.0,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3
[O-][n+]1ccccc1S,True,23673459.0,C1=CC=[N+](C(=C1)S)[O-].[Na+]
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,True,5743.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(O)CC(=O)c1ccc(N)cc1,True,10079874.0,CC1C=CC=CC=CC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,True,31404.0,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,True,3607.0,CCCCC(CC)CN1CC(CN(C1)CC(CC)CCCC)(C)N
O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O,True,77254.0,C1=CC(=CC=C1NC(=O)C2=C(C=CC(=C2)Br)O)Cl
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@@](Cn1cncn1)(OCOP(=O)(O)O)c1ccc(F)cc1F,True,9807507.0,CC(C1=NC(=CS1)C2=CC=C(C=C2)C#N)C(CN3C=NC=N3)(C4=C(C=C(C=C4)F)F)OCOP(=O)(O)O
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,True,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
CCCCCCCCCC(=O)O,True,379.0,CCCCCCCC(=O)O
Fc1ccc2c(c1)c1c(n2CCCOc2ccc(Cl)cc2)CCNC1,False,,None
C[C@@H](c1cn(-c2ccc(Cl)cc2F)nn1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,True,145150183.0,CC(C1=CN(N=N1)C2=C(C=C(C=C2)Cl)F)C(CN3C=NC=N3)(C4=C(C=C(C=C4)F)F)O
